Model,Accuracy,Precision,Recall,F1,ROC-AUC,PR-AUC,TrainTime(s),TestTime(s)
MLP,0.955,0.9690721649484536,0.94,0.9543147208121827,0.9898,0.9899306281795118,0.3040783000033116,0.00042409999878145754
RandomForest,0.95,0.95,0.95,0.95,0.98965,0.9854031540039451,0.9894633000003523,0.13704860000143526
GaussianNB,0.95,0.9591836734693877,0.94,0.9494949494949495,0.9926,0.9926540096284069,0.0027728999993996695,0.0004422000056365505
CatBoost,0.95,0.9787234042553191,0.92,0.9484536082474226,0.9859,0.970476781936974,1.6916796999939834,0.004968100001860876
ExtraTrees,0.945,0.9587628865979382,0.93,0.9441624365482234,0.99375,0.9935926164035787,0.8681724999987637,0.16755860000557732
XGBoost,0.945,0.9587628865979382,0.93,0.9441624365482234,0.9891,0.9865464375448392,0.27257519999693613,0.002107299995259382
GradientBoost,0.94,0.9583333333333334,0.92,0.9387755102040817,0.9885,0.9853441572546928,0.221571900001436,0.0011363000012352131
AdaBoost,0.93,0.9479166666666666,0.91,0.9285714285714286,0.98615,0.9850649493551096,0.11936810000042897,0.007419500005198643
SVM-RBF,0.925,0.9775280898876404,0.87,0.9206349206349206,0.9935,0.9935565650698441,0.009505599999101833,0.002090000001771841
DecisionTree,0.9,0.9166666666666666,0.88,0.8979591836734694,0.9,0.8666666666666667,0.0060582000005524606,0.00043599999480647966
KNN,0.815,1.0,0.63,0.7730061349693251,0.9498,0.9488064348728593,0.022430099998018704,0.006964399995922577
LogReg,0.63,0.7407407407407407,0.4,0.5194805194805194,0.44649999999999995,0.6502007926608703,0.005065500001364853,0.0002229999954579398
SVM-Linear,0.57,1.0,0.14,0.24561403508771928,0.51085,0.6524082854605422,0.14876010000443785,0.0016868999955477193
